old_path,new_path,confidence,rule_applied,notes,requires_review
00_AMPEL360_SPACET_CERT_00_IDX_LC10_K00_CERT__certification-knots-index_v01.md,00_AMPEL360_SPACET_CERT_GEN_LC10_K01_CERT__certification-knots-index_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K01: Keyword 'certification' in description | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_RPT_LC01_K00_CM__ci-gate-runbook_v01.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_CM__ci-gate-runbook_RPT_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: AoR 'CM' suggests K04 | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_STD_LC01_K00_CM__nomenclature-standard_v04.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_CM__nomenclature-standard_STD_v04_ACTIVE.md,0.80,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Keyword 'nomenclature' in description | STATUS: ACTIVE (Higher version suggests active document),YES
00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K06_DATA__k06-evidence-pack_v01.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K06_DATA__k06-evidence-pack_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_AI__ai-automation-architecture_v01.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K11_AI__ai-automation-architecture_IDX_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K11: Keyword 'ai' in description | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_CAT_LC01_K00_CM__nomenclature-quick-reference_v02.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_CM__nomenclature-quick-reference_CAT_v02_ACTIVE.md,0.80,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Keyword 'nomenclature' in description | STATUS: ACTIVE (Higher version suggests active document),YES
00_AMPEL360_SPACET_PLUS_00_STD_LC01_K00_DATA__governance-reference-policy_v01.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K05_DATA__governance-reference-policy_STD_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K05: Keyword 'governance' in description | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_IDX_LC01_K00_CM__nomenclature-automation-guide_v04.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_CM__nomenclature-automation-guide_IDX_v04_ACTIVE.md,0.80,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Keyword 'nomenclature' in description | STATUS: ACTIVE (Higher version suggests active document),YES
00_AMPEL360_SPACET_PLUS_00_RPT_LC01_K00_CM__auditability-proof-path_v01.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_CM__auditability-proof-path_RPT_v01_ACTIVE.md,0.75,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: AoR 'CM' suggests K04 | STATUS: ACTIVE (Version v01 suggests initial active release),YES
00_AMPEL360_SPACET_PLUS_00_STD_LC01_K00_CM__nomenclature-standard_v02.md,00_AMPEL360_SPACET_PLUS_GEN_LC01_K04_CM__nomenclature-standard_STD_v02_ACTIVE.md,0.80,v4→v5_migration,BUCKET 00 → BLOCK GEN | KNOT K00 → K04: Keyword 'nomenclature' in description | STATUS: ACTIVE (Higher version suggests active document),YES
